epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8406,1.03565,1.09367,1.2053,0.72942,0.74571,0.79074,0.46422,1.34737,2.34087,1.6486,0.000551257,0.000551257,0.000551257
2,147.587,1.21084,0.95683,1.32733,0.74262,0.7141,0.77943,0.43076,1.49388,1.17473,1.76121,0.00108501,0.00108501,0.00108501
3,217.803,1.27469,0.97509,1.36336,0.77118,0.69319,0.77726,0.46105,1.37929,1.76848,1.68413,0.00159675,0.00159675,0.00159675
4,288.97,1.22097,0.93019,1.3353,0.8885,0.84457,0.90017,0.55256,1.27216,0.98771,1.56553,0.00156798,0.00156798,0.00156798
5,359.46,1.18072,0.82905,1.29424,0.85597,0.83015,0.9012,0.58141,1.20225,0.94601,1.48185,0.00153497,0.00153497,0.00153497
6,429.999,1.13209,0.77252,1.25516,0.89508,0.92685,0.95272,0.64686,1.13093,0.71137,1.41209,0.00150197,0.00150197,0.00150197
7,500.24,1.09338,0.72565,1.24224,0.88409,0.8858,0.93112,0.61685,1.14999,0.71857,1.38363,0.00146896,0.00146896,0.00146896
8,569.995,1.08236,0.68405,1.22392,0.90648,0.86622,0.93747,0.63909,1.14904,0.67636,1.39956,0.00143595,0.00143595,0.00143595
9,640.023,1.0385,0.65438,1.20299,0.92984,0.93007,0.95871,0.67447,1.05179,0.75027,1.34255,0.00140295,0.00140295,0.00140295
10,710.262,1.02352,0.64444,1.1952,0.93432,0.92885,0.97507,0.69916,1.05946,0.54528,1.3156,0.00136994,0.00136994,0.00136994
11,780.441,1.00764,0.60735,1.19388,0.94349,0.93674,0.96734,0.69496,1.00142,0.53257,1.30052,0.00133693,0.00133693,0.00133693
12,850.336,0.97405,0.58835,1.16181,0.9251,0.95578,0.97589,0.70763,0.98842,0.50528,1.2759,0.00130393,0.00130393,0.00130393
13,920.674,0.97553,0.56945,1.17059,0.9419,0.96163,0.98692,0.71284,0.99344,0.49543,1.2803,0.00127092,0.00127092,0.00127092
14,990.824,0.96494,0.55987,1.15231,0.96134,0.95917,0.97704,0.71815,0.97655,0.48698,1.26993,0.00123791,0.00123791,0.00123791
15,1060.88,0.92869,0.53094,1.1333,0.96215,0.96272,0.9809,0.73229,0.93427,0.44534,1.24051,0.00120491,0.00120491,0.00120491
16,1131.14,0.93538,0.54412,1.14325,0.95858,0.94879,0.97409,0.72559,0.92964,0.46676,1.21093,0.0011719,0.0011719,0.0011719
17,1201.06,0.93127,0.52889,1.14051,0.96764,0.97455,0.98549,0.75081,0.90007,0.41831,1.19658,0.00113889,0.00113889,0.00113889
18,1271.17,0.9041,0.51487,1.12798,0.93965,0.97101,0.98533,0.72763,0.93958,0.45308,1.21845,0.00110589,0.00110589,0.00110589
19,1340.87,0.89865,0.51141,1.12535,0.96747,0.96891,0.9898,0.73419,0.93716,0.42912,1.21451,0.00107288,0.00107288,0.00107288
20,1410.59,0.90558,0.50961,1.12977,0.9704,0.97408,0.9931,0.75126,0.88787,0.40323,1.19039,0.00103987,0.00103987,0.00103987
21,1480.65,0.88864,0.49526,1.11494,0.98137,0.98272,0.99303,0.74945,0.88969,0.41012,1.17931,0.00100687,0.00100687,0.00100687
22,1550.56,0.88802,0.49534,1.11199,0.97694,0.96668,0.98235,0.75092,0.87486,0.40519,1.17813,0.000973861,0.000973861,0.000973861
23,1620.78,0.86002,0.47956,1.10151,0.98078,0.97527,0.98914,0.76301,0.90878,0.38148,1.18908,0.000940855,0.000940855,0.000940855
24,1691.11,0.85624,0.46357,1.09745,0.97537,0.98108,0.99259,0.76428,0.87224,0.37732,1.15712,0.000907848,0.000907848,0.000907848
