epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3773,0.72627,0.37843,1.03026,0.97068,0.98623,0.99256,0.78404,0.84926,0.35511,1.15061,0.000546847,0.000546847,0.000546847
2,143.337,0.78961,0.42123,1.06094,0.97409,0.9682,0.98692,0.75399,0.91765,0.4061,1.1934,0.0010916,0.0010916,0.0010916
3,212.41,0.8335,0.46165,1.08119,0.95207,0.9855,0.98933,0.73722,0.89429,0.46468,1.1944,0.00162535,0.00162535,0.00162535
4,280.586,0.87346,0.50254,1.10622,0.9707,0.97064,0.98628,0.72822,0.93136,0.42965,1.23584,0.00161749,0.00161749,0.00161749
5,348.988,0.88355,0.49859,1.10321,0.9707,0.9599,0.98401,0.72827,0.91409,0.45296,1.19042,0.00160099,0.00160099,0.00160099
6,417.318,0.86683,0.49586,1.09687,0.9635,0.94447,0.98442,0.7485,0.91284,0.44019,1.19752,0.00158448,0.00158448,0.00158448
7,485.761,0.87096,0.49208,1.1029,0.97295,0.94775,0.97957,0.72259,0.96866,0.45393,1.24298,0.00156798,0.00156798,0.00156798
8,554.224,0.87333,0.48506,1.1036,0.98844,0.95754,0.98735,0.74832,0.9186,0.39995,1.21981,0.00155148,0.00155148,0.00155148
9,622.768,0.844,0.46813,1.08353,0.96419,0.97297,0.98356,0.75053,0.91436,0.41472,1.21407,0.00153497,0.00153497,0.00153497
10,691.327,0.862,0.47902,1.0969,0.94979,0.96454,0.98257,0.75586,0.88655,0.41394,1.18343,0.00151847,0.00151847,0.00151847
11,760.743,0.83964,0.46512,1.08804,0.95499,0.96546,0.97489,0.73346,0.91803,0.42485,1.23477,0.00150197,0.00150197,0.00150197
12,829.491,0.82932,0.45931,1.07565,0.98054,0.95663,0.98635,0.73911,0.9522,0.41567,1.23396,0.00148546,0.00148546,0.00148546
13,898.084,0.86072,0.47502,1.10102,0.97451,0.9799,0.98799,0.74948,0.87119,0.39252,1.16642,0.00146896,0.00146896,0.00146896
14,966.311,0.84368,0.46613,1.08283,0.97729,0.98076,0.98983,0.75192,0.90437,0.40838,1.2103,0.00145246,0.00145246,0.00145246
15,1035.03,0.82984,0.45696,1.07262,0.95845,0.97158,0.98785,0.76145,0.85371,0.38703,1.14542,0.00143595,0.00143595,0.00143595
16,1105.26,0.82069,0.44731,1.07207,0.96097,0.96214,0.98453,0.73445,0.90477,0.41008,1.22442,0.00141945,0.00141945,0.00141945
17,1174.17,0.83114,0.44402,1.07997,0.96625,0.97516,0.98861,0.76232,0.90635,0.39846,1.17853,0.00140295,0.00140295,0.00140295
18,1242.89,0.81181,0.4325,1.06287,0.97079,0.98018,0.99271,0.75698,0.93003,0.38874,1.21541,0.00138644,0.00138644,0.00138644
19,1311.24,0.80771,0.43525,1.06396,0.97946,0.97653,0.98731,0.76468,0.8978,0.37933,1.18257,0.00136994,0.00136994,0.00136994
